,tid,country,area,province,city,name,address,isbranch,code,cameranum,manager,managertel,lastEditDate,formula
0,28,,Viet Nam            ,HCM                 ,HCM                 ,Floor 02                                                                        ,"11 Su Van Hanh St., Ward 12, Dist 10, HCMC                                      ",yes,F150E71E79C9B2A3D52D9AA035BD43AB,0,                    ,                    ,,
1,30,,Viet Nam            ,HCM                 ,HCM                 ,Floor 03                                                                        ,"11 Su Van Hanh St., Ward 12, Dist 10, HCMC                                      ",yes,02263C28C67FEA863CA6D2216508629E,0,                    ,                    ,,
2,31,,Viet Nam            ,HCM                 ,HCM                 ,Floor 04                                                                        ,"11 Su Van Hanh St., Ward 12, Dist 10, HCMC                                      ",yes,B7BD118EB7D5A142A22DD8E96FD56054,0,                    ,                    ,,
3,32,,Viet Nam            ,HCM                 ,HCM                 ,Floor 05                                                                        ,"11 Su Van Hanh St., Ward 12, Dist 10, HCMC                                      ",yes,168554EBE6D353D7C8DE38FDF1DD4857,0,                    ,                    ,,
4,33,,Viet Nam            ,HCM                 ,HCM                 ,Floor 1A (Highlands Coffee)                                                     ,"11 Su Van Hanh St., Ward 12, Dist 10, HCMC                                      ",yes,035810ECF204974B5345C6DDDAA8F605,0,                    ,                    ,,
5,34,,Viet Nam            ,HCM                 ,HCM                 ,Floor 1B (Starbucks)                                                            ,"11 Su Van Hanh St., Ward 12, Dist 10, HCMC                                      ",yes,57A4ED5610B957C522F07330926DFFD7,0,                    ,                    ,,
6,35,,Viet Nam            ,HCM                 ,HCM                 ,Floor 1P                                                                        ,"11 Su Van Hanh St., Ward 12, Dist 10, HCMC                                      ",yes,AF1666CE284C793AB97FFE00EFCC07AB,0,                    ,                    ,,
7,36,,Viet Nam            ,HCM                 ,HCM                 ,Floor B                                                                         ,"11 Su Van Hanh St., Ward 12, Dist 10, HCMC                                      ",yes,D7C9EEE508603B56542AD34975B3BC7A,0,                    ,                    ,,
8,37,,Viet Nam            ,HCM                 ,HCM                 ,Floor MB                                                                        ,"11 Su Van Hanh St., Ward 12, Dist 10, HCMC                                      ",yes,5B4D3F85E3BBD53FBFE3A7AD2FCC88AE,0,                    ,                    ,,
